lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; -0.000082 0.000226 0.350595 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.517016 ; 0.000000 ; -0.064701 0.398397 -0.039829 0.323725 ; -0.000848 0.004292 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000084 0.000237 0.355107 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.811655 ; 0.000000 ; -0.064701 0.398397 -0.039829 0.323725 ; -0.000737 0.004709 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000086 0.000248 0.359614 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.811655 ; 0.000000 ; -0.084643 0.408368 -0.039829 0.323725 ; -0.000737 0.004709 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000088 0.000259 0.364306 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.877210 ; 0.000000 ; -0.084643 0.408368 -0.064701 0.478109 ; -0.000959 0.004633 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000087 0.000272 0.369958 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.270061 ; 0.000000 ; -0.084643 0.408368 -0.064701 0.478109 ; 0.000369 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000086 0.000286 0.375576 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.270061 ; 0.000000 ; -0.084643 0.408368 -0.064701 0.478109 ; 0.000369 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000085 0.000299 0.381190 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.270061 ; 0.000000 ; -0.084643 0.408368 -0.064701 0.478109 ; 0.000369 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000085 0.000312 0.386957 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.270061 ; 0.000000 ; -0.134442 0.219140 -0.064701 0.478109 ; 0.000369 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000081 0.000321 0.391823 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.964497 ; 0.000000 ; -0.134442 0.219140 -0.054785 0.303783 ; 0.001401 0.003798 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000081 0.000327 0.395675 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.560720 ; 0.000000 ; -0.134442 0.219140 -0.054785 0.303783 ; 0.000037 0.002545 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000081 0.000333 0.399518 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.560720 ; 0.000000 ; -0.134442 0.219140 -0.054785 0.303783 ; 0.000037 0.002545 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000081 0.000339 0.403361 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.560720 ; 0.000000 ; -0.134442 0.219140 -0.054785 0.303783 ; 0.000037 0.002545 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000081 0.000345 0.407205 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.560720 ; 0.000000 ; -0.029858 0.373524 -0.054785 0.303783 ; 0.000037 0.002545 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000082 0.000356 0.411412 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.669858 ; 0.000000 ; -0.029858 0.373524 -0.089628 0.403382 ; -0.000332 0.004519 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000080 0.000368 0.416306 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.964497 ; 0.000000 ; -0.029858 0.373524 -0.089628 0.403382 ; 0.000664 0.005013 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000079 0.000380 0.421247 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.964497 ; 0.000000 ; -0.029858 0.373524 -0.089628 0.403382 ; 0.000664 0.005013 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000077 0.000391 0.426154 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.964497 ; 0.000000 ; -0.094614 0.393411 -0.089628 0.403382 ; 0.000664 0.005013 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000077 0.000403 0.431532 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.149997 ; 0.000000 ; -0.094614 0.393411 -0.099599 0.413353 ; 0.000037 0.004671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000077 0.000414 0.437031 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.193700 ; 0.000000 ; -0.094614 0.393411 -0.099599 0.413353 ; 0.000185 0.004671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000076 0.000425 0.442528 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.193700 ; 0.000000 ; -0.094614 0.393411 -0.099599 0.413353 ; 0.000185 0.004671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000076 0.000436 0.448004 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.193700 ; 0.000000 ; -0.094614 0.393411 -0.099599 0.413353 ; 0.000185 0.004671 ; 0.000000 0.000000 ; 0.000000 0.000000
