lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000617 0.000042 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130870 ; 0.000000 ; 0.094614 -0.034843 -0.069687 0.119486 ; 0.002359 0.000835 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000624 0.000044 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130870 ; 0.000000 ; 0.174271 -0.079657 -0.069687 0.119486 ; 0.002359 0.000835 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000632 0.000047 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.141916 ; 0.000000 ; 0.174271 -0.079657 -0.049800 0.154384 ; 0.003281 0.001101 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000640 0.000051 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.109019 ; 0.000000 ; 0.174271 -0.079657 -0.049800 0.154384 ; 0.003392 0.001519 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000648 0.000054 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.109019 ; 0.000000 ; 0.174271 -0.079657 -0.049800 0.154384 ; 0.003392 0.001519 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000656 0.000058 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.109019 ; 0.000000 ; 0.174271 -0.079657 -0.049800 0.154384 ; 0.003392 0.001519 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000664 0.000062 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.109019 ; 0.000000 ; 0.184242 -0.159370 -0.049800 0.149399 ; 0.003392 0.001519 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000674 0.000064 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.316490 ; 0.000000 ; 0.184242 -0.159370 -0.049800 0.149399 ; 0.004020 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000683 0.000066 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.316490 ; 0.000000 ; 0.184242 -0.159370 -0.049800 0.149399 ; 0.004020 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000693 0.000068 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.316490 ; 0.000000 ; 0.184242 -0.159370 -0.049800 0.149399 ; 0.004020 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000702 0.000071 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.316490 ; 0.000000 ; 0.184242 -0.159370 -0.049800 0.149399 ; 0.004020 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000712 0.000073 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.316490 ; 0.000000 ; 0.204184 -0.189227 -0.139428 0.149399 ; 0.004020 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000724 0.000073 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.229203 ; 0.000000 ; 0.204184 -0.189227 -0.139428 0.149399 ; 0.005052 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000736 0.000074 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.229203 ; 0.000000 ; 0.204184 -0.189227 -0.139428 0.149399 ; 0.005052 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000748 0.000074 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.229203 ; 0.000000 ; 0.204184 -0.189227 -0.139428 0.149399 ; 0.005052 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000760 0.000075 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.229203 ; 0.000000 ; 0.263954 -0.283841 -0.139428 0.149399 ; 0.005052 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000775 0.000074 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.567545 ; 0.000000 ; 0.263954 -0.283841 -0.099599 0.159370 ; 0.006195 -0.000076 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000789 0.000075 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.632981 ; 0.000000 ; 0.263954 -0.283841 -0.099599 0.159370 ; 0.005974 0.000304 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000806 0.000076 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.632981 ; 0.000000 ; 0.263954 -0.283841 -0.099599 0.159370 ; 0.005974 0.000304 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000820 0.000077 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.632981 ; 0.000000 ; 0.263954 -0.283841 -0.099599 0.159370 ; 0.005974 0.000304 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000834 0.000078 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.632981 ; 0.000000 ; 0.313754 -0.403382 -0.134442 0.224071 ; 0.005974 0.000304 ; 0.000000 0.000000 ; 0.000000 0.000000
