lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000445 0.389918 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.069655 ; 0.000000 ; 6.713631 6.813231 6.594090 6.574203 ; -0.001328 0.205228 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000399 0.400385 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.174694 ; 0.000000 ; 6.897928 7.072199 6.688704 6.778387 ; -0.000885 0.203557 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000367 0.411120 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.578471 ; 0.000000 ; 6.877986 7.047327 6.633919 6.718617 ; -0.000626 0.209216 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000335 0.421794 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.556740 ; 0.000000 ; 6.449677 6.828187 6.743489 6.788358 ; -0.000627 0.208000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000215 0.431726 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.927859 ; 0.000000 ; 6.753460 6.947728 6.743489 6.594090 ; -0.002471 0.204431 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000100 0.441037 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098333 ; 0.000000 ; 6.853059 6.066182 6.594090 6.718617 ; -0.002545 0.206177 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000414 0.450347 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.451581 ; 0.000000 ; 7.410880 6.703660 6.619018 6.803260 ; 0.006749 0.200025 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000755 0.461183 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.146137 ; 0.000000 ; 6.325151 6.763431 6.569218 6.658846 ; 0.006601 0.209975 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000630 0.470859 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.156942 ; 0.000000 ; 6.683774 6.290307 6.424750 6.663832 ; -0.002582 0.200671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000820 0.478897 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.338342 ; 0.000000 ; 6.957699 6.977586 6.663832 6.499477 ; 0.004684 0.198734 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000764 0.487263 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.316610 ; 0.000000 ; 6.280337 6.858045 6.633919 6.688704 ; -0.001364 0.206634 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000572 0.497292 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.386146 ; 0.000000 ; 6.947728 6.813231 6.509448 6.892943 ; -0.003872 0.201772 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000769 0.507931 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.545694 ; 0.000000 ; 7.032371 6.599076 7.057298 6.977586 ; 0.003836 0.207127 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000904 0.518771 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.124285 ; 0.000000 ; 7.077185 7.331223 8.571337 8.660965 ; 0.002618 0.210963 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000841 0.531133 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.753165 ; 0.000000 ; 9.547497 9.985777 10.035576 10.598383 ; -0.001217 0.241268 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000888 0.546832 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.193940 ; 0.000000 ; 10.478842 10.224859 10.942049 11.036663 ; 0.000922 0.306285 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.001021 0.563499 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.349268 ; 0.000000 ; 11.918209 11.325545 12.341533 12.351504 ; 0.002581 0.325464 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.001249 0.582212 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.277007 ; 0.000000 ; 12.157291 11.913224 13.317693 13.606574 ; 0.004463 0.365530 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.001452 0.602230 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098213 ; 0.000000 ; 13.556775 12.864511 13.671330 13.601589 ; 0.003947 0.388848 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.001689 0.623268 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.669978 ; 0.000000 ; 13.970182 14.383535 13.721130 13.561760 ; 0.004610 0.409432 ; 0.000000 0.000000 ; 0.000000 0.000000
