lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000770 0.293727 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.163648 ; 0.000000 ; 6.902914 6.350078 6.773402 6.733573 ; 0.001660 0.200785 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000861 0.298625 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.298859 ; 0.000000 ; 6.150825 6.549276 6.459648 6.524349 ; 0.003799 0.204051 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000802 0.303321 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.015026 ; 0.000000 ; 6.459648 6.609047 6.589105 6.698675 ; -0.002471 0.195848 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000795 0.308140 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.567545 ; 0.000000 ; 6.748475 6.723602 6.280337 6.414779 ; -0.000295 0.200975 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000823 0.312958 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.240129 ; 0.000000 ; 6.579134 6.210595 6.683774 6.648875 ; 0.001180 0.199531 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000882 0.317732 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.884156 ; 0.000000 ; 6.947728 6.838158 6.484520 6.743489 ; 0.002471 0.199190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000948 0.322670 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.327416 ; 0.000000 ; 6.250424 6.170767 6.464633 6.404863 ; 0.002729 0.205988 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000951 0.327296 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.305564 ; 0.000000 ; 6.624003 7.107097 6.833172 6.917815 ; 0.000147 0.192848 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000881 0.332321 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.244229 ; 0.000000 ; 6.673803 6.678788 6.574203 6.389907 ; -0.002951 0.209558 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000847 0.337137 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.392971 ; 0.000000 ; 6.778387 6.848129 6.529335 6.509448 ; -0.001402 0.200671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000831 0.342014 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.109259 ; 0.000000 ; 6.703660 6.818216 6.494491 6.813231 ; -0.000664 0.203330 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000867 0.346921 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.949591 ; 0.000000 ; 6.952713 6.828187 6.474550 6.454663 ; 0.001512 0.204582 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000886 0.351808 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.316490 ; 0.000000 ; 6.619018 6.853059 7.012484 6.982571 ; 0.000775 0.203671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000839 0.356835 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.447361 ; 0.000000 ; 6.897928 7.201711 6.574203 6.758446 ; -0.001955 0.209444 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000818 0.361859 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.069535 ; 0.000000 ; 6.449677 6.723602 6.887957 6.708646 ; -0.000885 0.209178 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000737 0.366756 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.207352 ; 0.000000 ; 6.748475 7.126984 6.504462 6.688704 ; -0.003356 0.204127 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000703 0.371712 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.233303 ; 0.000000 ; 6.185723 6.758446 6.399878 6.574203 ; -0.001439 0.206405 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000632 0.376452 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.637201 ; 0.000000 ; 6.947728 6.305209 6.863030 6.658846 ; -0.002950 0.197633 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000710 0.381345 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.855598 ; 0.000000 ; 6.843143 6.927786 6.574203 6.633919 ; 0.003246 0.204165 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000705 0.386276 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.316370 ; 0.000000 ; 6.748475 6.424750 6.673803 6.330136 ; -0.000185 0.205722 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000702 0.391061 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.462627 ; 0.000000 ; 6.559247 6.987557 6.668817 6.818216 ; -0.000148 0.199607 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000652 0.396017 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.266081 ; 0.000000 ; 6.698675 6.718617 6.484520 6.624003 ; -0.002065 0.206140 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000673 0.400870 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.349388 ; 0.000000 ; 6.091054 6.892943 6.828187 6.798274 ; 0.000885 0.202266 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000525 0.405744 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.691830 ; 0.000000 ; 6.877986 6.290307 6.519418 6.728588 ; -0.006160 0.202911 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000667 0.410583 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.829526 ; 0.000000 ; 6.838158 6.614032 6.917815 7.002513 ; 0.005901 0.201431 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000722 0.415600 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.305564 ; 0.000000 ; 7.047327 7.141941 6.424750 6.713631 ; 0.002287 0.208722 ; 0.000000 0.000000 ; 0.000000 0.000000
