lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000385 -0.000022 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120185 ; 0.000000 ; 0.009916 0.000000 -0.019887 0.124472 ; 0.000626 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000388 -0.000020 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.294639 ; 0.000000 ; 0.009916 0.000000 -0.019887 0.124472 ; 0.001142 0.000873 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000390 -0.000018 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.294639 ; 0.000000 ; 0.009916 0.000000 -0.019887 0.124472 ; 0.001142 0.000873 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000393 -0.000016 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.294639 ; 0.000000 ; 0.009916 0.000000 -0.019887 0.124472 ; 0.001142 0.000873 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000396 -0.000014 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.294639 ; 0.000000 ; 0.009916 0.000000 -0.019887 0.124472 ; 0.001142 0.000873 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000398 -0.000012 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.294639 ; 0.000000 ; 0.014902 -0.004931 -0.029858 0.039829 ; 0.001142 0.000873 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000400 -0.000011 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.109259 ; 0.000000 ; 0.014902 -0.004931 -0.029858 0.039829 ; 0.000663 0.000152 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000401 -0.000011 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.109259 ; 0.000000 ; 0.014902 -0.004931 -0.029858 0.039829 ; 0.000663 0.000152 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000403 -0.000011 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.109259 ; 0.000000 ; 0.014902 -0.004931 -0.029858 0.039829 ; 0.000663 0.000152 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000405 -0.000010 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.109259 ; 0.000000 ; 0.014902 -0.009916 -0.029858 0.039829 ; 0.000663 0.000152 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000406 -0.000010 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098333 ; 0.000000 ; 0.014902 -0.009916 -0.059716 0.139428 ; 0.000700 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000410 -0.000008 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.382046 ; 0.000000 ; 0.014902 -0.009916 -0.059716 0.139428 ; 0.001658 0.000646 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000414 -0.000007 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.382046 ; 0.000000 ; 0.014902 -0.009916 -0.059716 0.139428 ; 0.001658 0.000646 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000418 -0.000005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.382046 ; 0.000000 ; 0.014902 -0.009916 -0.059716 0.139428 ; 0.001658 0.000646 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000422 -0.000004 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.382046 ; 0.000000 ; 0.014902 -0.004931 -0.014902 0.034843 ; 0.001658 0.000646 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000423 -0.000003 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.065555 ; 0.000000 ; 0.014902 -0.004931 -0.014902 0.034843 ; 0.000515 0.000228 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000424 -0.000003 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.065555 ; 0.000000 ; 0.014902 -0.004931 -0.014902 0.034843 ; 0.000515 0.000228 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000425 -0.000002 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.065555 ; 0.000000 ; 0.014902 -0.004931 -0.014902 0.034843 ; 0.000515 0.000228 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000426 -0.000002 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.065555 ; 0.000000 ; 0.014902 -0.004931 -0.014902 0.034843 ; 0.000515 0.000228 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000428 -0.000001 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.065555 ; 0.000000 ; 0.019887 -0.004931 -0.004931 0.084643 ; 0.000515 0.000228 ; 0.000000 0.000000 ; 0.000000 0.000000
